branch_type,baseline_or_variant,weighting,metric,site,delta_178D_minus_111D,direction_positive
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,structure_equal,D_mahalanobis,4,7.995311412752017,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,structure_equal,D_diagonal,9,3.918067151723605,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,structure_equal,D_mahalanobis,9,4.656154220401611,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,family_B_equal,D_diagonal,4,5.620586395443645,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,family_B_equal,D_mahalanobis,4,5.966559077221575,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,family_B_equal,D_diagonal,9,3.0293928004566837,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_0GC,family_B_equal,D_mahalanobis,9,3.6025373515670793,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,pair_equal,D_diagonal,4,3.091927144677417,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,pair_equal,D_mahalanobis,4,4.180209470096173,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,pair_equal,D_diagonal,9,1.6538992925293812,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,pair_equal,D_mahalanobis,9,1.611003697656031,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,structure_equal,D_diagonal,4,3.0067624514827678,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,structure_equal,D_mahalanobis,4,4.492612382931888,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,structure_equal,D_diagonal,9,1.5092452866333907,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,structure_equal,D_mahalanobis,9,1.4715365741118873,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,family_B_equal,D_diagonal,4,2.394254556631779,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,family_B_equal,D_mahalanobis,4,3.8942387352080345,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,family_B_equal,D_diagonal,9,1.2009806928660325,True
terminal_sequence_pairtype_stratum,AT_internal_two_flanks_1GC_target_matched,family_B_equal,D_mahalanobis,9,1.2574168079486725,True
terminal_sequence_pairtype_stratum,GC_all,pair_equal,D_diagonal,4,3.2345638752358212,True
terminal_sequence_pairtype_stratum,GC_all,pair_equal,D_mahalanobis,4,6.627158209467474,True
terminal_sequence_pairtype_stratum,GC_all,pair_equal,D_diagonal,9,1.9352409241826614,True
terminal_sequence_pairtype_stratum,GC_all,pair_equal,D_mahalanobis,9,3.533613066037219,True
terminal_sequence_pairtype_stratum,GC_all,structure_equal,D_diagonal,4,3.448294618522528,True
terminal_sequence_pairtype_stratum,GC_all,structure_equal,D_mahalanobis,4,6.474923521686151,True
terminal_sequence_pairtype_stratum,GC_all,structure_equal,D_diagonal,9,2.049335596305383,True
terminal_sequence_pairtype_stratum,GC_all,structure_equal,D_mahalanobis,9,3.4969764660929457,True
terminal_sequence_pairtype_stratum,GC_all,family_B_equal,D_diagonal,4,2.997296829096765,True
terminal_sequence_pairtype_stratum,GC_all,family_B_equal,D_mahalanobis,4,6.057576497761843,True
terminal_sequence_pairtype_stratum,GC_all,family_B_equal,D_diagonal,9,1.7820458777974402,True
terminal_sequence_pairtype_stratum,GC_all,family_B_equal,D_mahalanobis,9,3.127755276425333,True
terminal_sequence_pairtype_stratum,canonical_pooled,pair_equal,D_diagonal,4,3.9445373594604973,True
terminal_sequence_pairtype_stratum,canonical_pooled,pair_equal,D_mahalanobis,4,5.474656722701461,True
terminal_sequence_pairtype_stratum,canonical_pooled,pair_equal,D_diagonal,9,2.2465002978923145,True
terminal_sequence_pairtype_stratum,canonical_pooled,pair_equal,D_mahalanobis,9,2.753955592329774,True
terminal_sequence_pairtype_stratum,canonical_pooled,structure_equal,D_diagonal,4,3.963885194566018,True
